|h2e2
h2e2,b9c7,h0g2,h7f7,i0h0,h9g7,g3g4,c6c5|b0a2
h2e2,b9c7,h0g2,h7f7,i0h0,h9g7,g3g4,c6c5,b0a2|g9e7
h2e2,b9c7,h0g2,h7f7,i0h0,h9g7,g3g4,c6c5,b0a2,g9e7|b2c2
h2e2,b9c7,h0g2,h7f7,i0h0,h9g7,g3g4,c6c5,b0a2,g9e7,b2c2|a9b9
h2e2,h9g7,h0g2,i9h9,i0h0,b9c7,c3c4,g6g5,b2c2|h7h5
h2e2,h9g7,h0g2,i9h9,i0h0,b9c7,c3c4,g6g5,b2c2,h7h5|b0a2
h2e2,h9g7,h0g2,i9h9,i0h0,b9c7,c3c4,g6g5,b2c2,h7h5,b0a2|a9b9
g0e2|b7d7
g0e2,h7d7|h0g2
g0e2,h7d7,h0g2|h9g7
g0e2,h7d7,h0g2,g6g5|i0h0
g0e2,h7d7,h0g2,g6g5,i0h0|h9g7
g0e2,h7d7,h0g2,g6g5,i0h0,h9g7|c3c4
g0e2,h7d7,h0g2,g6g5,i0h0,h9g7,c3c4|c9e7
g0e2,h7d7,h0g2,g6g5,i0h0,h9g7,c3c4,i9h9|b0c2
g0e2,h7d7,h0g2,g6g5,i0h0,h9g7,c3c4,i9h9,b0c2|b9a7
h2e2,h7e7,h0g2,i9i8,i0h0,h9g7,b0c2|i8d8
h2e2,h7e7,h0g2,i9i8,i0h0,h9g7,b0c2,c6c5|g3g4
h2e2,h7e7,h0g2,i9i8,i0h0,h9g7,b0c2,c6c5,h0h5|i8c8
h2e2,h7e7,h0g2,i9i8,i0h0,h9g7,b0c2,c6c5,h0h5,i8c8|c0a2
h2e2,h7e7,h0g2,i9i8,i0h0,h9g7,b0c2,c6c5,h0h5,i8c8,c0a2|b9a7
c3c4,c9e7,b2d2,g6g5,b0c2,h9g7|a0b0
c3c4,c9e7,b2d2,g6g5,b0c2,h9g7,h2e2|b9c7
c3c4,c9e7,b2d2,g6g5,b0c2,h9g7,h2e2,b9c7|a0b0
c3c4,c9e7,b2d2,g6g5,b0c2,h9g7,h2e2,b9c7,a0b0|a9b9
c3c4,c9e7,b2d2,g6g5,b0c2,h9g7,h2e2,b9c7,a0b0,a9b9|h0g2
c3c4,c9e7,b2d2,g6g5,b0c2,h9g7,h2e2,b9c7,a0b0,a9b9,h0g2|i9h9
h2d2|h9g7
h2d2,i9i8|h0g2
h2d2,i9i8,h0g2|i8d8
h2d2,i9i8,h0g2,c9e7|i0h0
g3g4,c6c5|h0g2
g3g4,c6c5,b2e2|b9c7
g3g4,c6c5,b2e2,b9c7|b0c2
g3g4,c6c5,b2e2,b9c7,b0c2|h9g7
c3c4,h9g7|g3g4
c3c4,h9g7,g3g4|h7i7
c3c4,h9g7,g3g4,b7c7|b0a2
c3c4,h9g7,g3g4,b7c7,h0g2|c6c5
c3c4,h9g7,g3g4,b7c7,h0g2,c6c5|b0a2
c3c4,h9g7,g3g4,b7c7,h0g2,c6c5,b0a2|c5c4
c3c4,h9g7,g3g4,b7c7,h0g2,c6c5,b0a2,c5c4|c0e2
c3c4,h9g7,g3g4,b7c7,h0g2,c6c5,b0a2,c5c4,c0e2|c9e7
g0e2,g6g5|c3c4
g0e2,g6g5,b0a2|h9g7
g0e2,g6g5,b0a2,a6a5|a0a1
g0e2,g6g5,b0a2,a6a5,a0a1|g9e7
g0e2,g6g5,b0a2,a6a5,a0a1,g9e7|g3g4
g0e2,g6g5,b0a2,a6a5,a0a1,g9e7,g3g4|g5g4
g0e2,g6g5,b0a2,a6a5,a0a1,g9e7,g3g4,g5g4|a1g1
g0e2,g6g5,b0a2,a6a5,a0a1,g9e7,g3g4,g5g4,a1g1|b9a7
g0e2,g6g5,b0a2,a6a5,a0a1,g9e7,g3g4,g5g4,a1g1,b9a7|g1g4
g0e2,g6g5,b0a2,a6a5,a0a1,g9e7,g3g4,g5g4,a1g1,b9a7,g1g4|h9g7
h2e2,h9g7,h0g2,b9c7|i0h0
h2e2,h9g7,h0g2,b9c7,i0h0|i9h9
h2e2,h9g7,h0g2,b9c7,i0h0,i9h9|c3c4
h2e2,h9g7,h0g2,b9c7,i0h0,i9h9,b0a2|g6g5
h2e2,h9g7,h0g2,b9c7,i0h0,i9h9,b0a2,g6g5|b2c2
h2e2,h9g7,h0g2,b9c7,i0h0,i9h9,b0a2,g6g5,h0h6|g7f5
h2e2,h9g7,h0g2,b9c7,i0h0,i9h9,b0a2,g6g5,h0h6,g7f5|a0a1
h2e2,h9g7,h0g2,b9c7,i0h0,i9h9,b0a2,g6g5,h0h6,g7f5,a0a1|c9e7
c3c4,b7c7,h2e2,c9e7,b0a2|i9i8
c3c4,b7c7,h2e2,c9e7,b0a2,h9g7|h0g2
c3c4,b7c7,h2e2,c9e7,b0a2,h9g7,h0g2|i9h9
c3c4,b7c7,h2e2,c9e7,b0a2,h9g7,h0g2,i9h9|i0h0
c3c4,b7c7,h2e2,c9e7,b0a2,h9g7,h0g2,i9h9,i0h0|g6g5
c3c4,b7c7,h2e2,c9e7,b0a2,h9g7,h0g2,i9h9,i0h0,g6g5|h0h4
c3c4,b7c7,h2e2,c9e7,b0a2,h9g7,h0g2,i9h9,i0h0,g6g5,h0h4|h7i7
c3c4,h9g7,g3g4,h7i7|h0g2
c3c4,h9g7,g3g4,h7i7,h0i2|i9h9
c3c4,b7c7,h2e2,c9e7,h0g2,c6c5,b0a2|c5c4
c3c4,b7c7,h2e2,c9e7,h0g2,c6c5,b0a2,c5c4|i0h0
c3c4,b7c7,h2e2,c9e7,h0g2,c6c5,b0a2,c5c4,i0h0|i9i8
c3c4,b7c7,h2e2,c9e7,h0g2,c6c5,b0a2,c5c4,i0h0,b9d8|a0b0
c3c4,b7c7,h2e2,c9e7,h0g2,c6c5,b0a2,c5c4,i0h0,b9d8,a0b0|d9e8
h2e2,h9g7,h0g2,i9h9,i0h0,b9c7,g3g4,c6c5,b0a2,g9e7|a0a1
